locator-02,40.117.35.106,anomalyLocator
locator-03,13.93.223.198,anomalyLocator
locator-04,23.96.248.142,anomalyLocator
locator-06,13.94.154.128,anomalyLocator
locator-09,13.78.81.193,anomalyLocator
monitor,52.173.191.191,monitor-cmu-agens
